Site,lon,lat,species,Type,Type2,PFTs,D,H,Ac,R,Gst,MI,ppfd,Database
1,-17.85138889,28.01416667,Other broadleaves,deciduous,angiosperm,Deciduous angiosperm,0.113888889,13.08888889,39.3568693,26.40197449,NA,NA,NA,ICP
1,-17.85138889,28.01416667,Erica arborea,evergreen,angiosperm,Evergreen angiosperm,0.144659686,13.57259615,33.34708036,16.984289,NA,NA,NA,ICP
1,-17.85138889,28.01416667,Laurus canariensis,evergreen,angiosperm,Evergreen angiosperm,0.151666667,14.68333333,12.689525,5.698106536,NA,NA,NA,ICP
2,-17.87444444,28.01444444,Other broadleaves,deciduous,angiosperm,Deciduous angiosperm,0.260274914,18.04326241,3.926949329,0.836195682,NA,NA,NA,ICP
2,-17.87444444,28.01444444,Erica arborea,evergreen,angiosperm,Evergreen angiosperm,0.2,19.828,49.70186381,12.53325192,NA,NA,NA,ICP
2,-17.87444444,28.01444444,Ilex canariensis,evergreen,angiosperm,Evergreen angiosperm,0.254642857,18.12142857,NA,NA,NA,NA,NA,ICP
2,-17.87444444,28.01444444,Laurus canariensis,evergreen,angiosperm,Evergreen angiosperm,0.178181818,16.53636364,49.76814282,16.89071503,NA,NA,NA,ICP
2,-17.87444444,28.01444444,Myrica faya,evergreen,angiosperm,Evergreen angiosperm,0.802,22.02,38.97883857,2.207177253,NA,NA,NA,ICP
3,-16.80861111,28.01472222,Pinus canariensis,evergreen,gymnosperm,Evergreen gymnosperm,0.414148148,13.36728395,106.4525491,19.22902076,NA,NA,NA,ICP
4,32.95222222,34.01722222,Pinus nigra*,evergreen,gymnosperm,Evergreen gymnosperm,0.346076923,18.8021978,NA,NA,NA,NA,NA,ICP
5,32.92944444,34.0175,Pinus brutia*,evergreen,gymnosperm,Evergreen gymnosperm,0.335738095,19.91428571,NA,NA,NA,NA,NA,ICP
5,32.92944444,34.0175,Pinus nigra*,evergreen,gymnosperm,Evergreen gymnosperm,0.368333333,20.85,NA,NA,NA,NA,NA,ICP
6,33.01388889,35.01694444,Pinus brutia*,evergreen,gymnosperm,Evergreen gymnosperm,0.237414634,11.35365854,NA,NA,16.95833333,1.957106896,36.60146784,ICP
7,32.02,35.01777778,Pinus brutia*,evergreen,gymnosperm,Evergreen gymnosperm,0.237133333,16.79166667,NA,NA,NA,NA,NA,ICP
8,-5.629444444,36.00472222,Arbutus unedo,evergreen,angiosperm,Evergreen angiosperm,0.170555556,6.65,NA,NA,NA,NA,33.82323264,ICP
8,-5.629444444,36.00472222,Quercus suber*,evergreen,angiosperm,Evergreen angiosperm,0.300790861,7.893975904,NA,NA,NA,NA,33.82323264,ICP
9,-25.20583333,37.00194444,Other conifers,evergreen,gymnosperm,Evergreen gymnosperm,0.176333333,6.65,NA,NA,NA,NA,NA,ICP
10,-25.22666667,37.00222222,Other conifers,evergreen,gymnosperm,Evergreen gymnosperm,0.213617978,7.533333333,NA,NA,NA,NA,NA,ICP
11,-7.454444444,37.0025,Eucalyptus sp.*,evergreen,angiosperm,Evergreen angiosperm,0.111376147,NA,54.28199519,NA,NA,NA,NA,ICP
12,-6.844722222,37.00277778,Pinus pinea*,evergreen,gymnosperm,Evergreen gymnosperm,0.23031941,9.577764706,NA,NA,NA,NA,NA,ICP
13,13.90888889,37.00416667,Acer campestre*,deciduous,angiosperm,Deciduous angiosperm,0.07,NA,63.53059406,NA,NA,NA,NA,ICP
13,13.90888889,37.00416667,Quercus cerris*,deciduous,angiosperm,Deciduous angiosperm,0.206813175,16.98810573,NA,NA,NA,NA,NA,ICP
13,13.90888889,37.00416667,Quercus pubescens*,deciduous,angiosperm,Deciduous angiosperm,0.179933333,NA,NA,NA,NA,NA,NA,ICP
14,-5.169722222,37.00444444,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.242337662,7.213605442,NA,NA,13.75833333,2.699119983,35.50442112,ICP
15,-2.098333333,37.0075,Juniperus communis,evergreen,gymnosperm,Evergreen gymnosperm,0.164166667,6.375,48.27561298,46.12778776,17.50833333,0.648191677,35.87485248,ICP
15,-2.098333333,37.0075,Juniperus oxycedrus*,evergreen,gymnosperm,Evergreen gymnosperm,0.1125,6,NA,NA,17.50833333,0.648191677,35.87485248,ICP
15,-2.098333333,37.0075,Pinus nigra*,evergreen,gymnosperm,Evergreen gymnosperm,0.246341936,13.40540839,25.47479421,7.714224704,17.50833333,0.648191677,35.87485248,ICP
16,-3.968611111,37.00777778,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.146911197,4.306504065,NA,NA,13.90833333,1.571833028,36.01732608,ICP
17,-7.456111111,37.01916667,Eucalyptus sp.*,evergreen,angiosperm,Evergreen angiosperm,0.069003676,5.751724138,NA,NA,NA,NA,NA,ICP
17,-7.456111111,37.01916667,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,ICP
18,-6.535,37.03583333,Eucalyptus sp.*,evergreen,angiosperm,Evergreen angiosperm,0.104576271,6.734110169,NA,NA,18.575,1.886161259,36.17404704,ICP
19,-8.036944444,38.00055556,Quercus suber*,evergreen,angiosperm,Evergreen angiosperm,0.294310345,NA,NA,NA,16.9,1.875991143,34.57834272,ICP
20,16.42722222,38.00083333,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.4085625,27.76026786,NA,NA,16.65833333,NA,NA,ICP
20,16.42722222,38.00083333,Ilex aquifolium,evergreen,angiosperm,Evergreen angiosperm,0.056571429,NA,NA,NA,NA,NA,NA,ICP
21,-7.900555556,38.00083333,Quercus rotundifolia*,evergreen,angiosperm,Evergreen angiosperm,0.1637,NA,NA,NA,NA,NA,34.64957952,ICP
22,21.87444444,38.00111111,Abies borisii-regis*,evergreen,gymnosperm,Evergreen gymnosperm,0.404701385,22.80443213,NA,NA,16.10833333,3.138002963,31.35843936,ICP
