Site,Longitude,Latitude,Species,PFT,Family,Elevation,PFT,Growing,Type,Type2,Vegetation,Ac_projected_removed,R_removed,Root_removed,D_removed,H_removed,Huber_crown,A0 ,MT,MP,vpd ,ppfd,Gst,Gppfd,vpd0 ,MI
1,-69.61444444,-51.59388889,Nassauvia ulicina,EA,Asteraceae,33.5,EA,FW,evergreen,angiosperm,Gr,NA,NA,NA,NA,NA,NA,2324.09744,7.283333333,22.08333333,440.6084301,24.63368543,7.283333333,24.63368544,1133.79892,0.582724864
2,-72.23,-51.56,Nothofagus antarctica,DA,Fagaceae,125.5,DA,FW,deciduous,angiosperm,TempF,NA,NA,NA,NA,NA,NA,2168.262368,5.383333333,34,308.0179918,23.36567041,5.383333333,23.3656704,518.5771391,0.985791947
3,-69.52611111,-51.51222222,Nardophyllum bryoides,EA,Asteraceae,161,EA,FW,evergreen,angiosperm,Gr,NA,NA,NA,NA,NA,NA,2340.890761,7.25,21.91666667,442.5181926,24.83314848,7.25,24.83314848,681.0932148,0.574662878
4,-71.64166667,-50.34138889,Juniella tridens,EA,Verbenaceae,125,EA,FW,evergreen,angiosperm,Sh,NA,NA,NA,NA,NA,NA,2620.839108,6.691666667,10.91666667,426.6938351,27.93907297,6.691666667,27.93907296,790.2605628,0.25582905
5,-72.37722222,-50.32944444,Senecio filaginoides,EA,Asteraceae,567,EA,FW,evergreen,angiosperm,Gr,NA,NA,NA,NA,NA,NA,2628.509689,6.683333333,15.5,367.2443209,27.782352,6.683333333,27.782352,610.0918567,0.367343394
6,146.9,-43.35,Eucalyptus nitens,EA,Myrtaceae,18,EA,PM,evergreen,angiosperm,TempF,NA,NA,NA,0.1235,12.39555556,0.000394759,2505.118806,11.11666667,70.41666667,496.7639588,25.53126911,11.11666667,25.53126912,908.5337313,1.6307916
7,171.35,-43.15,Nothofagus solandri ,EA,Nothofagaceae,111.5,EA,GH,evergreen,angiosperm,NA,NA,NA,NA,NA,NA,NA,2734.687769,8.8,137.0833333,398.2044951,28.35224639,8.8,28.3522464,676.1887933,2.990681473
8,147.51,-42.82,Eucalyptus globulus,EA,Myrtaceae,18,EA,PM,evergreen,angiosperm,TempF,NA,NA,0.029249442,0.162222222,0.345176471,NA,2775.46398,12.91666667,43.91666667,594.9647073,28.28100961,12.91666667,28.2810096,1232.252172,0.889886019
9,147.2833333,-41.16666667,Eucalyptus nitens,EA,Myrtaceae,219,EA,PM,evergreen,angiosperm,TempF,NA,NA,NA,0.070166667,5.95,0.000464625,2899.156574,13.025,68.91666667,578.6111595,29.52052993,13.025,29.52052992,496.7639589,1.331413029
10,-72.18,-40.65,Aextoxicon punctatum,EA,Aextoxicaceae,108.5,EA,FW,evergreen,angiosperm,TempRF,0.016041404,NA,NA,NA,0.275868852,NA,2590.007253,10.14166667,121.0833333,425.6633609,26.54283168,10.14166667,26.54283168,578.6111595,2.674508874
