H,Database
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
12.39555556,BAAD
NA,BAAD
0.345176471,BAAD
5.95,BAAD
0.275868852,BAAD
0.184083333,BAAD
0.395733333,BAAD
0.1731875,BAAD
0.5655,BAAD
0.348403846,BAAD
0.414210526,BAAD
0.275217391,BAAD
0.141944444,BAAD
0.482058824,BAAD
0.251381429,BAAD
0.186567568,BAAD
0.1631875,BAAD
0.1696,BAAD
0.1781,BAAD
0.167214286,BAAD
0.1204375,BAAD
0.1513125,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
0.226818676,BAAD
0.143565217,BAAD
NA,BAAD
0.172347826,BAAD
0.143277778,BAAD
76.62727273,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
13.67777778,BAAD
15.87515625,BAAD
13.50857143,BAAD
15.0659375,BAAD
18.01041667,BAAD
23.46685714,BAAD
18.55,BAAD
18.43921569,BAAD
17.13333333,BAAD
14.8,BAAD
13.916,BAAD
24.8834697,BAAD
21.32933333,BAAD
21.01,BAAD
16.55,BAAD
23.7830566,BAAD
24.05138889,BAAD
0.816708333,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
0.997314286,BAAD
0.467875,BAAD
0.5620625,BAAD
0.4536,BAAD
0.808958333,BAAD
0.528,BAAD
1.276823529,BAAD
0.363785714,BAAD
0.444933333,BAAD
0.827742857,BAAD
0.899296296,BAAD
0.693642857,BAAD
0.277875,BAAD
0.631611111,BAAD
NA,BAAD
NA,BAAD
14.67,BAAD
12.62333333,BAAD
10.79444444,BAAD
10.92,BAAD
14.671875,BAAD
15.96666667,BAAD
12.73300926,BAAD
22.3,BAAD
19.62777778,BAAD
5.728571429,BAAD
13.43764706,BAAD
16.559375,BAAD
16.30625,BAAD
3.5,BAAD
3.5,BAAD
3.166666667,BAAD
4.5,BAAD
5.0625,BAAD
2.681818182,BAAD
2.666666667,BAAD
3.5,BAAD
3,BAAD
3.266666667,BAAD
5.125,BAAD
3.477777778,BAAD
3.966666667,BAAD
4.7,BAAD
4.216666667,BAAD
3.5,BAAD
4.75,BAAD
4.15,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
6.9,BAAD
7.559,BAAD
9.0935,BAAD
9.366666667,BAAD
10.325,BAAD
9.745454545,BAAD
8.735555556,BAAD
5.907692308,BAAD
11.275,BAAD
11.8125,BAAD
9.3125,BAAD
10.60769231,BAAD
6.7875,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
1.586891892,BAAD
0.401981132,BAAD
0.183072464,BAAD
0.184576271,BAAD
0.148722222,BAAD
0.5603,BAAD
1.023064516,BAAD
0.309504274,BAAD
0.950473373,BAAD
0.249090909,BAAD
0.240173077,BAAD
2.250952381,BAAD
1.801267606,BAAD
0.141761062,BAAD
3.168403846,BAAD
0.294482456,BAAD
0.673396226,BAAD
1.29765625,BAAD
0.428584906,BAAD
0.303398058,BAAD
0.219444444,BAAD
0.149613445,BAAD
3.253137255,BAAD
1.801428571,BAAD
10.21111111,BAAD
16.84710526,BAAD
13.10092593,BAAD
12.16046512,BAAD
22.24444444,BAAD
11.38913043,BAAD
9.96,BAAD
12.9027027,BAAD
13.27462687,BAAD
13.6,BAAD
1.692,BAAD
1.506666667,BAAD
1.386666667,BAAD
1.358181818,BAAD
1.601,BAAD
1.22,BAAD
1.451,BAAD
2.108571429,BAAD
1.601818182,BAAD
9.325,BAAD
17,BAAD
26.88,BAAD
15.4,BAAD
16.41075269,BAAD
3.66809434,BAAD
25,BAAD
1.8,BAAD
35,BAAD
4.1,BAAD
30,BAAD
25,BAAD
2.8,BAAD
5.612285714,BAAD
9.15,BAAD
35,BAAD
20,BAAD
15.5,BAAD
6,BAAD
9,BAAD
3.5,BAAD
3.5,BAAD
1.5,BAAD
1.8,BAAD
25,BAAD
15,BAAD
13,BAAD
30,BAAD
25,BAAD
30,BAAD
12,BAAD
40,BAAD
10,BAAD
7.651263045,BAAD
3.48,BAAD
3.2,BAAD
4.5,BAAD
3.63,BAAD
3.836666667,BAAD
6.15,BAAD
6.04,BAAD
0.325,BAAD
13.57,BAAD
16.2,BAAD
9.05,BAAD
11.69,BAAD
2.605,BAAD
2.073285714,BAAD
0.8001,BAAD
0.703,BAAD
0.525625,BAAD
0.637222222,BAAD
0.355,BAAD
0.722105263,BAAD
0.590588235,BAAD
0.603684211,BAAD
0.632222222,BAAD
0.797058824,BAAD
0.690526316,BAAD
0.708888889,BAAD
0.591,BAAD
0.793571429,BAAD
0.72,BAAD
0.647272727,BAAD
0.657857143,BAAD
0.644166667,BAAD
0.777692308,BAAD
0.691578947,BAAD
0.814,BAAD
0.696666667,BAAD
0.8375,BAAD
0.669166667,BAAD
0.80875,BAAD
0.728666667,BAAD
0.468,BAAD
0.618125,BAAD
0.682857143,BAAD
0.848,BAAD
0.584848485,BAAD
0.811333333,BAAD
NA,BAAD
8.72275,BAAD
1.148,BAAD
1.191,BAAD
0.919,BAAD
2.873333333,BAAD
0.31,BAAD
1.883333333,BAAD
7.3,BAAD
4.8,BAAD
5.65,BAAD
7.3,BAAD
NA,BAAD
2.410588235,BAAD
8.441666667,BAAD
4.956923077,BAAD
3.26,BAAD
8.1375,BAAD
6.356,BAAD
0.536666667,BAAD
1.4,BAAD
11.11589583,BAAD
11.9242,BAAD
13.205475,BAAD
