Site,Longitude,Latitude,Elevation,species,Type,Type2,D,H,Ac,Soil,potential evotranspiration (mm d-1),potential evotranspiration (mm month-1),actual evotranspoiration(mm d-1),Gst,MT,MP,MP1,Solar,MI,R
1,-17.85138889,28.01416667,1025,Erica arborea,evergreen,angiosperm,0.144659686,13.57259615,33.34708036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.984289
1,-17.85138889,28.01416667,1025,Laurus canariensis,evergreen,angiosperm,0.151666667,14.68333333,12.689525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.698106536
1,-17.85138889,28.01416667,1025,Other broadleaves,deciduous,angiosperm,0.113888889,13.08888889,39.3568693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.40197449
2,-17.87444444,28.01444444,975,Erica arborea,evergreen,angiosperm,0.2,19.828,49.70186381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.53325192
2,-17.87444444,28.01444444,975,Ilex canariensis,evergreen,angiosperm,0.254642857,18.12142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,-17.87444444,28.01444444,975,Laurus canariensis,evergreen,angiosperm,0.178181818,16.53636364,49.76814282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.89071503
2,-17.87444444,28.01444444,975,Myrica faya,evergreen,angiosperm,0.802,22.02,38.97883857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.207177253
2,-17.87444444,28.01444444,975,Other broadleaves,deciduous,angiosperm,0.260274914,18.04326241,3.926949329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836195682
3,-16.80861111,28.01472222,2025,Pinus canariensis,evergreen,gymnosperm,0.414148148,13.36728395,106.4525491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.22902076
4,32.95222222,34.01722222,1375,Pinus nigra*,evergreen,gymnosperm,0.346076923,18.8021978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,32.92944444,34.0175,1175,Pinus brutia*,evergreen,gymnosperm,0.335738095,19.91428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,32.92944444,34.0175,1175,Pinus nigra*,evergreen,gymnosperm,0.368333333,20.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,33.01388889,35.01694444,625,Pinus brutia*,evergreen,gymnosperm,0.237414634,11.35365854,NA,276.4627,2.295764,27.549168,1.750077,16.95833333,16.95833333,53.91666667,647,209.0833333,1.957106896,NA
7,32.02,35.01777778,875,Pinus brutia*,evergreen,gymnosperm,0.237133333,16.79166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,-5.629444444,36.00472222,425,Arbutus unedo,evergreen,angiosperm,0.170555556,6.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.5,NA,NA
8,-5.629444444,36.00472222,425,Quercus suber*,evergreen,angiosperm,0.300790861,7.893975904,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.5,NA,NA
9,-25.20583333,37.00194444,725,Other conifers,evergreen,gymnosperm,0.176333333,6.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,-25.22666667,37.00222222,575,Other conifers,evergreen,gymnosperm,0.213617978,7.533333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,-7.454444444,37.0025,175,Eucalyptus sp.*,evergreen,angiosperm,0.111376147,NA,54.28199519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,-6.844722222,37.00277778,75,Pinus pinea*,evergreen,gymnosperm,0.23031941,9.577764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13.90888889,37.00416667,975,Acer campestre*,deciduous,angiosperm,0.07,NA,63.53059406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13.90888889,37.00416667,975,Quercus cerris*,deciduous,angiosperm,0.206813175,16.98810573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13.90888889,37.00416667,975,Quercus pubescens*,deciduous,angiosperm,0.179933333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,-5.169722222,37.00444444,375,Quercus ilex*,evergreen,angiosperm,0.242337662,7.213605442,NA,392.0413,2.094304,25.131648,2.022451,13.75833333,13.75833333,67.83333333,814,203,2.699119983,NA
15,-2.098333333,37.0075,1525,Juniperus communis,evergreen,gymnosperm,0.164166667,6.375,48.27561298,109.8955,2.346271,28.155252,0.6047041,17.50833333,17.50833333,18.25,219,205,0.648191677,46.12778776
15,-2.098333333,37.0075,1525,Juniperus oxycedrus*,evergreen,gymnosperm,0.1125,6,NA,109.8955,2.346271,28.155252,0.6047041,17.50833333,17.50833333,18.25,219,205,0.648191677,NA
15,-2.098333333,37.0075,1525,Pinus nigra*,evergreen,gymnosperm,0.246341936,13.40540839,25.47479421,109.8955,2.346271,28.155252,0.6047041,17.50833333,17.50833333,18.25,219,205,0.648191677,7.714224704
16,-3.968611111,37.00777778,1575,Quercus ilex*,evergreen,angiosperm,0.146911197,4.306504065,NA,173.7666,2.257626,27.091512,1.232948,13.90833333,13.90833333,42.58333333,511,205.9166667,1.571833028,NA
17,-7.456111111,37.01916667,175,Eucalyptus sp.*,evergreen,angiosperm,0.069003676,5.751724138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,-7.456111111,37.01916667,175,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,-6.535,37.03583333,175,Eucalyptus sp.*,evergreen,angiosperm,0.104576271,6.734110169,NA,260.4762,2.249572,26.994864,1.67494,18.575,18.575,50.91666667,611,206.8333333,1.886161259,NA
19,-8.036944444,38.00055556,125,Quercus suber*,evergreen,angiosperm,0.294310345,NA,NA,213.3529,2.106294,25.275528,1.56768,16.9,16.9,47.41666667,569,197.75,1.875991143,NA
21,-7.900555556,38.00083333,275,Quercus rotundifolia*,evergreen,angiosperm,0.1637,NA,NA,NA,NA,NA,NA,NA,NA,51.83333333,622,198.0833333,NA,NA
20,16.42722222,38.00083333,975,Fagus sylvatica*,deciduous,angiosperm,0.4085625,27.76026786,NA,NA,NA,NA,NA,16.65833333,16.65833333,NA,NA,NA,NA,NA
20,16.42722222,38.00083333,975,Ilex aquifolium,evergreen,angiosperm,0.056571429,NA,NA,NA,NA,NA,NA,NA,NA,51.83333333,622,198.0833333,NA,NA
23,-8.678611111,38.00111111,75,Pinus pinea*,evergreen,gymnosperm,0.388868421,NA,NA,324.2409,1.937314,23.247768,1.709965,9.1,9.1,55.25,663,195.8333333,2.376572237,NA
22,21.87444444,38.00111111,1175,Abies borisii-regis*,evergreen,gymnosperm,0.404701385,22.80443213,NA,490.7408,1.898766,22.785192,1.898766,16.10833333,16.10833333,71.5,858,178.75,3.138002963,NA
24,-28.56888889,38.00138889,825,Other broadleaves,deciduous,angiosperm,0.0776,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-28.56888889,38.00138889,825,Other conifers,evergreen,gymnosperm,0.17436,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,-27.25166667,38.00166667,475,Other conifers,evergreen,gymnosperm,0.285133333,19.6952381,13.0722125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.327768961
26,-2.905555556,38.00222222,725,Pinus halepensis*,evergreen,gymnosperm,0.290380952,9.833333333,52.7516226,276.3262,2.063984,24.767808,1.797416,13.30833333,13.30833333,55.91666667,671,195.9166667,2.257634857,18.47425512
27,-8.348611111,38.00333333,75,Eucalyptus sp.*,evergreen,angiosperm,0.157853659,NA,9.2002,235.3475,2.088606,25.063272,1.599797,17.30833333,17.30833333,48.66666667,584,195.5833333,1.941752325,NA
28,-6.526388889,38.00333333,625,Quercus ilex*,evergreen,angiosperm,0.646893204,8.65,70.85261564,364.937,2.13105,25.5726,2.01143,15.95833333,15.95833333,64.33333333,772,196.9166667,2.515713433,12.66214235
29,-8.680833333,38.00361111,75,Arbutus unedo,evergreen,angiosperm,0.105,NA,19.37571898,287.4043,2.047459,24.569508,1.775401,16.10833333,16.10833333,55.25,663,195.8333333,2.248722278,NA
29,-8.680833333,38.00361111,75,Eucalyptus sp.*,evergreen,angiosperm,0.17,NA,13.8474,287.4043,2.047459,24.569508,1.775401,16.10833333,16.10833333,55.25,663,195.8333333,2.248722278,NA
29,-8.680833333,38.00361111,75,Quercus suber*,evergreen,angiosperm,0.285,NA,12.23291667,287.4043,2.047459,24.569508,1.775401,16.10833333,16.10833333,55.25,663,195.8333333,2.248722278,NA
30,-0.480277778,38.00694444,775,Pinus halepensis*,evergreen,gymnosperm,0.201068133,9.680529101,114.4716001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.81057334
31,-4.817777778,38.00722222,625,Quercus ilex*,evergreen,angiosperm,0.254329268,7.604635762,55.1129189,263.9192,2.169774,26.037288,1.706454,16.15,16.15,52.16666667,626,199.5833333,2.003536876,28.49565565
32,-2.523611111,38.01277778,975,Pinus pinaster*,evergreen,gymnosperm,0.295421687,10.97205624,47.1170345,246.2337,1.905574,22.866888,1.615908,8.941666667,8.941666667,50.75,609,193.4166667,2.219366273,14.53608821
33,-2.921111111,38.01888889,725,Pinus halepensis*,evergreen,gymnosperm,0.213394495,12.3125,31.36725946,535.6465,1.982353,23.788236,1.982353,10.94166667,10.94166667,78.33333333,940,195.9166667,3.292944182,11.93842736
33,-2.921111111,38.01888889,725,Pinus pinaster*,evergreen,gymnosperm,0.18,NA,127.8470625,535.6465,1.982353,23.788236,1.982353,10.94166667,10.94166667,78.33333333,940,195.9166667,3.292944182,NA
33,-2.921111111,38.01888889,725,Quercus coccifera (Q. calliprinos)*,evergreen,angiosperm,0.09,NA,NA,535.6465,1.982353,23.788236,1.982353,10.94166667,10.94166667,78.33333333,940,195.9166667,3.292944182,NA
34,-2.923055556,38.03555556,775,Fraxinus angustifolia spp. oxycarpa (F. oxyphylla)*,deciduous,angiosperm,0.17,7.5,NA,527.8672,1.98783,23.85396,1.98783,10.95,10.95,78.5,942,195.9166667,3.290858206,NA
34,-2.923055556,38.03555556,775,Pinus halepensis*,evergreen,gymnosperm,0.259223744,11.96803653,35.87223558,527.8672,1.98783,23.85396,1.98783,10.95,10.95,78.5,942,195.9166667,3.290858206,11.56273994
34,-2.923055556,38.03555556,775,Quercus faginea*,deciduous,angiosperm,0.125,6.666666667,NA,527.8672,1.98783,23.85396,1.98783,10.95,10.95,78.5,942,195.9166667,3.290858206,NA
34,-2.923055556,38.03555556,775,Quercus ilex*,evergreen,angiosperm,0.1,4.5,NA,527.8672,1.98783,23.85396,1.98783,10.95,10.95,78.5,942,195.9166667,3.290858206,NA
35,22.78555556,39.00055556,725,Quercus frainetto (Q. conferta)*,deciduous,angiosperm,0.213961166,14.50347395,NA,357.8115,1.671489,20.057868,1.614352,10.49166667,10.49166667,54.75,657,163.5,2.729602169,NA
35,22.78555556,39.00055556,725,NA,NA,NA,NA,NA,NA,357.8115,1.671489,20.057868,1.614352,10.49166667,10.49166667,54.75,657,163.5,2.729602169,NA
36,22.79777778,39.00083333,875,Fagus moesiaca*,deciduous,angiosperm,0.343802083,24.86916667,NA,322.4689,1.716675,20.6001,1.616444,11.525,11.525,53.08333333,637,163.5,2.576848332,NA
37,-5.065277778,39.00194444,225,Quercus ilex*,evergreen,angiosperm,0.220733496,6.04551495,NA,248.22,2.150037,25.800444,1.597147,16.625,16.625,49,588,200.5833333,1.899192122,NA
38,8.348888889,39.00388889,675,Acer monspessulanum*,deciduous,angiosperm,0.112575758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,8.348888889,39.00388889,675,Arbutus unedo,evergreen,angiosperm,0.125,NA,26.82963942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,8.348888889,39.00388889,675,Ilex aquifolium,evergreen,angiosperm,0.071066667,8.108333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,8.348888889,39.00388889,675,Phillyrea latifolia,evergreen,angiosperm,0.084126984,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,8.348888889,39.00388889,675,Quercus ilex*,evergreen,angiosperm,0.188795723,16.37455621,23.20844952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.507311524
39,2.824722222,39.01111111,675,Quercus ilex*,evergreen,angiosperm,0.18156701,5.876447876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,3.854444444,39.01138889,125,Pinus halepensis*,evergreen,gymnosperm,0.230641763,14.4857671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,-1.164444444,39.01194444,1075,Pinus pinaster*,evergreen,gymnosperm,0.190875371,9.621463415,NA,157.4255,2.07669,24.92028,1.01948,14.03333333,14.03333333,30.83333333,370,193.0833333,1.237278768,NA
42,-4.61,39.01222222,775,Quercus faginea*,deciduous,angiosperm,0.109286694,5.858304297,NA,237.1881,2.173741,26.084892,1.537364,15.73333333,15.73333333,46.91666667,563,199.75,1.798614565,NA
43,-4.395,39.01361111,825,Quercus ilex*,evergreen,angiosperm,0.142679128,6.796753247,52.89692308,262.4461,2.154216,25.850592,1.682986,15.61666667,15.61666667,51.66666667,620,197.4166667,1.998664737,54.54669741
43,-4.395,39.01361111,825,Quercus pyrenaica (Q. toza)*,deciduous,angiosperm,0.114444444,8.325,NA,262.4461,2.154216,25.850592,1.682986,15.61666667,15.61666667,51.66666667,620,197.4166667,1.998664737,NA
44,-0.653333333,39.015,25,Eucalyptus sp.*,evergreen,angiosperm,0.202916667,12.35,NA,198.9933,2.040391,24.484692,1.356208,17.21666667,17.21666667,41.25,495,191.5,1.684726114,NA
44,-0.653333333,39.015,25,Pinus halepensis*,evergreen,gymnosperm,0.368333333,11.72403101,NA,198.9933,2.040391,24.484692,1.356208,17.21666667,17.21666667,41.25,495,191.5,1.684726114,NA
45,-8.925,40.00027778,775,Pinus pinaster*,evergreen,gymnosperm,0.175606469,NA,16.418275,NA,NA,NA,NA,NA,NA,NA,NA,181.5833333,NA,NA
