Reference_number,Site,Longitude,Latitude,LAI_observed,fapar_observed,Species,Z,f0,A0,A01,Type,Type2,PFTs,pet,MP_predicted,ca,chi,D,MAT,MAP,Gst_predicted,MI_predicted,PFT2,PFT4,Vegetation_status,Method,Stand_age,fapar_observed,fapar_predicted,fapar_carbon,fapar_water,LAI_predicted,LAI_observed,LAI_used_carbon,LAI_used_water,Kind,fapar_difference,fapar_fraction
362,1,-68.21666667,-54.2,2.94,0.770074515,Nothofagus pumilio,218.219357,0.151942413,1898.174592,1.898174592,deciduous,angiosperm,Deciduous angiosperm,1.015681599,365.0372172,36.11790557,0.623104866,322.8273806,,600,5.008333333,0.984660907,ANGIO,DECID,Natural,IR,NA,0.770074515,0.451069788,NA,0.451069788,1.199567927,2.94,NA,2.94,water,0.319004727,41.4251765
5,2,-71.01182833,-51.01388,0.91,0.365552032,Nothofagus antarctica,718.1865045,0.313806396,2263.972905,2.263972905,deciduous,angiosperm,Deciduous angiosperm,1.253039078,136.4723769,36.11790557,0.622381783,441.1046465,6.4,314,7.233333333,0.298392069,ANGIO,DECID,Natural,IC,NA,0.365552032,0.103675805,NA,0.103675805,0.218906214,0.91,NA,0.91,water,0.261876227,71.63856416
5,3,-71.01654667,-51.01032167,1.94,0.620916962,Nothofagus pumilio,429.1168635,0.533023201,2263.972905,2.263972905,deciduous,angiosperm,Deciduous angiosperm,1.25307097,136.4723769,36.11790557,0.622381783,441.1046465,5.2,352,7.233333333,0.298384475,ANGIO,DECID,Natural,IC,NA,0.620916962,0.103675805,NA,0.103675805,0.218906214,1.94,NA,1.94,water,0.517241157,83.30279066
5,4,-71.01652167,-51.01029167,0.75,0.312710721,Nothofagus antarctica,778.0021525,0.268445025,2263.972905,2.263972905,deciduous,angiosperm,Deciduous angiosperm,1.253071239,136.4723769,36.11790557,0.622381783,441.1046465,5.1,351,7.233333333,0.298384411,ANGIO,DECID,Natural,IC,NA,0.312710721,0.103675805,NA,0.103675805,0.218906214,0.75,NA,0.75,water,0.209034916,66.84609831
5,5,-72.000085,-51.009565,2.24,0.673720205,Nothofagus pumilio,368.4586888,0.259885316,2258.544322,2.258544322,deciduous,angiosperm,Deciduous angiosperm,1.229703414,252.1346558,35.48999545,0.625109111,358.0939153,3.8,383,5.958333333,0.56174511,ANGIO,DECID,Natural,IC,NA,0.673720205,0.230721378,NA,0.230721378,0.524604117,2.24,NA,2.24,water,0.442998827,65.75412519
5,6,-72.00516167,-51.00954167,1.19,0.448437434,Nothofagus pumilio,622.9603988,0.171330267,2258.892961,2.258892961,deciduous,angiosperm,Deciduous angiosperm,1.229653298,254.0970214,35.48999545,0.625477671,357.0259889,3.4,508,5.958333333,0.566140248,ANGIO,DECID,Natural,IC,NA,0.448437434,0.23294735,NA,0.23294735,0.530399672,1.19,NA,1.19,water,0.215490084,48.05354497
5,7,-72.00234667,-51.00889333,2.21,0.668789118,Nothofagus pumilio,374.0849653,0.255517959,2258.892961,2.258892961,deciduous,angiosperm,Deciduous angiosperm,1.229658895,254.0970214,35.48999545,0.625477671,357.0259889,4.5,388,5.958333333,0.566137671,ANGIO,DECID,Natural,IC,NA,0.668789118,0.23294735,NA,0.23294735,0.530399672,2.21,NA,2.21,water,0.435841768,65.16878883
5,8,-72.00304667,-51.00524667,1.61,0.552912073,Nothofagus antarctica,505.2835488,0.235339276,2260.331889,2.260331889,deciduous,angiosperm,Deciduous angiosperm,1.231196799,229.238135,35.48999545,0.625869492,358.2301031,5.1,340,6.008333333,0.510113156,ANGIO,DECID,Natural,IC,NA,0.552912073,0.209098861,NA,0.209098861,0.469164603,1.61,NA,1.61,water,0.343813212,62.18225805
5,9,-72.00439833,-51.00370833,1.82,0.597475776,Nothofagus antarctica,454.9191698,0.254307191,2260.331889,2.260331889,deciduous,angiosperm,Deciduous angiosperm,1.231210101,229.238135,35.48999545,0.625869492,358.2301031,5.9,331,6.008333333,0.510107645,ANGIO,DECID,Natural,IC,NA,0.597475776,0.209098861,NA,0.209098861,0.469164603,1.82,NA,1.82,water,0.388376915,65.00295587
5,10,-72.00465,-51.00370833,1.94,0.620916962,Nothofagus pumilio,428.4267398,0.264284603,2260.331889,2.260331889,deciduous,angiosperm,Deciduous angiosperm,1.231210101,229.238135,35.48999545,0.625869492,358.2301031,5.4,350,6.008333333,0.510107645,ANGIO,DECID,Natural,IC,NA,0.620916962,0.209098861,NA,0.209098861,0.469164603,1.94,NA,1.94,water,0.411818101,66.32418281
5,11,-72.01403333,-50.009225,2.6,0.727468207,Nothofagus antarctica,317.5293619,0.483430652,2330.218859,2.330218859,deciduous,angiosperm,Deciduous angiosperm,1.26658113,158.3809478,34.6209743,0.608178343,382.9429956,7.2,640,6.2,0.342591876,ANGIO,DECID,Natural,IC,NA,0.727468207,0.133927524,NA,0.133927524,0.287573368,2.6,NA,2.6,water,0.593540683,81.5899138
5,12,-72.01302667,-50.00874167,2.22,0.670441039,Nothofagus antarctica,383.9722531,0.445533902,2330.218859,2.330218859,deciduous,angiosperm,Deciduous angiosperm,1.266584947,158.3809478,34.6209743,0.608178343,382.9429956,7.3,577,6.2,0.342590843,ANGIO,DECID,Natural,IC,NA,0.670441039,0.133927524,NA,0.133927524,0.287573368,2.22,NA,2.22,water,0.536513515,80.02396688
5,13,-72.01656167,-50.00787833,3.73,0.84510379,Nothofagus betuloides,179.7177528,0.52521396,2320.492579,2.320492579,deciduous,angiosperm,Deciduous angiosperm,1.256405552,165.380052,34.6209743,0.606544066,377.0895999,6.8,804,6,0.360628805,ANGIO,DECID,Natural,IC,NA,0.84510379,0.143206851,NA,0.143206851,0.309117512,3.73,NA,3.73,water,0.701896939,83.05452505
5,14,-73.00047667,-50.00775833,2.58,0.724729217,Nothofagus betuloides,217.4713927,0.056401628,1580.054303,1.580054303,deciduous,angiosperm,Deciduous angiosperm,0.701882731,539.8095569,32.24175771,0.599682688,214.4803587,7.4,844,2.94,2.107090298,ANGIO,DECID,Natural,IC,NA,0.724729217,0.662036932,0.662036932,NA,2.169637311,2.58,2.58,NA,carbon,0.062692285,8.650442611
5,15,-73.00039167,-50.00769833,3.45,0.821826948,Nothofagus betuloides/Nothofagus pumilio,140.7615486,0.063958203,1580.054303,1.580054303,deciduous,angiosperm,Deciduous angiosperm,0.701882952,539.8095569,32.24175771,0.599682688,214.4803587,6.7,836,2.94,2.107089635,ANGIO,DECID,Natural,IC,NA,0.821826948,0.662036932,0.662036932,NA,2.169637311,3.45,3.45,NA,carbon,0.159790016,19.443268
