Site,longitude,latitude,Year,MAT,vpd,CO2,ppfd,Elevation,,Year,MAT,vpd,CO2,ppfd,Elevation
1,-68.21666667,-54.2,01/01/2000,9.3,440.0741419,365.73935,1213.704104,244,,01/01/2000,1,237.5492575,365.73935,296.8010035,360
0,0,0,01/02/2000,8.9,431.9994263,366.0757,919.1256883,244,,01/02/2000,2,261.7331144,366.0757,442.8079488,360
0,0,0,01/03/2000,7.4,375.6800692,366.5558,678.4022938,244,,01/03/2000,5.2,338.3977834,366.5558,757.9025626,360
0,0,0,01/04/2000,5.1,305.551886,367.2937,364.1625216,244,,01/04/2000,8.3,444.809431,367.2937,938.6160768,360
0,0,0,01/05/2000,2.9,244.4164215,368.03515,169.6005734,244,,01/05/2000,12.1,599.2499583,368.03515,1113.003763,360
0,0,0,01/06/2000,0.9,208.4706473,367.5628,82.0647936,244,,01/06/2000,15.3,733.3344046,367.5628,1133.519962,360
0,0,0,01/07/2000,0.7,209.3976896,366.9831,100.7003405,244,,01/07/2000,18.2,838.3952769,366.9831,1128.903817,360
0,0,0,01/08/2000,1.5,239.8700587,366.19695,201.400681,244,,01/08/2000,17.7,810.5153608,366.19695,1038.803512,360
0,0,0,01/09/2000,3.1,280.1869019,365.55685,507.7759104,244,,01/09/2000,14.1,636.3611358,365.55685,861.6803328,360
0,0,0,01/10/2000,5.2,337.3176364,365.68045,890.4030106,244,,01/10/2000,9.9,467.0193641,365.68045,614.8020787,360
0,0,0,01/11/2000,6.8,380.4868104,366.36865,1133.519962,244,,01/11/2000,5.2,313.0751753,366.36865,353.9044224,360
0,0,0,01/12/2000,8.3,420.4768776,367.0224,1287.904355,244,,01/12/2000,1.8,251.9837982,367.0224,254.4008602,360
2,-71.01182833,-51.01388,01/01/2000,13.1,687.8036779,365.73935,1383.304677,244,,,,,,,
0,0,0,01/02/2000,12.4,637.8106654,366.0757,1038.803512,244,,,,,,,
0,0,0,01/03/2000,10.2,521.8650414,366.5558,805.6027238,244,,,,,,,
0,0,0,01/04/2000,7.2,396.0584168,367.2937,441.0982656,244,,,,,,,
0,0,0,01/05/2000,3.9,288.0076226,368.03515,227.9007706,244,,,,,,,
0,0,0,01/06/2000,1.4,235.1105822,367.5628,123.0971904,244,,,,,,,
0,0,0,01/07/2000,1.1,237.8895082,366.9831,164.3005555,244,,,,,,,
0,0,0,01/08/2000,2.5,276.0182541,366.19695,312.7010573,244,,,,,,,
0,0,0,01/09/2000,5,349.041692,365.55685,630.8731008,244,,,,,,,
0,0,0,01/10/2000,7.8,460.6837474,365.68045,1022.903459,244,,,,,,,
0,0,0,01/11/2000,10.2,563.9228344,366.36865,1236.100954,244,,,,,,,
0,0,0,01/12/2000,12,639.0437158,367.0224,1367.404623,244,,,,,,,
3,-71.01654667,-51.01032167,01/01/2000,13.1,687.8036779,365.73935,1383.304677,244,,,,,,,
0,0,0,01/02/2000,12.4,637.8106654,366.0757,1038.803512,244,,,,,,,
0,0,0,01/03/2000,10.2,521.8650414,366.5558,805.6027238,244,,,,,,,
0,0,0,01/04/2000,7.2,396.0584168,367.2937,441.0982656,244,,,,,,,
0,0,0,01/05/2000,3.9,288.0076226,368.03515,227.9007706,244,,,,,,,
0,0,0,01/06/2000,1.4,235.1105822,367.5628,123.0971904,244,,,,,,,
0,0,0,01/07/2000,1.1,237.8895082,366.9831,164.3005555,244,,,,,,,
0,0,0,01/08/2000,2.5,276.0182541,366.19695,312.7010573,244,,,,,,,
0,0,0,01/09/2000,5,349.041692,365.55685,630.8731008,244,,,,,,,
